assessmentIdentifier,gradeLevelDescriptor
grade_6_ela_text_analysis_informational_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_ela_text_analysis_literary_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_ela_write_and_revise_argumentative_texts_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_ela_write_and_revise_explanatory_texts_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_ela_write_and_revise_narratives_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_elpac_ia_listening_i,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_elpac_ia_listening_ii,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_elpac_ia_reading_i,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_elpac_ia_reading_ii,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_elpac_ia_speaking_i,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_elpac_ia_speaking_ii,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_elpac_ia_writing_i,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_elpac_ia_writing_ii,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_math_algebraic_expressions_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_math_dependent_and_independent_variables_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_math_divide_fractions_by_fractions_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_math_expressions_and_equations_iab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_math_geometry_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_math_interim_comprehensive_assessment_ica,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_math_multi_digit_numbers_factors_and_multiples_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_math_one_variable_expressions_and_equations_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_math_performance_task_feeding_the_giraffe_iab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_math_rational_number_system_i_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_math_rational_number_system_ii_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_math_ratios_and_proportional_relationships_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_math_statistics_and_probability_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_math_the_number_system_iab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_7_ela_brief_writes_iab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_ela_editing_fiab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_ela_interim_comprehensive_assessment_ica,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_ela_language_and_vocabulary_use_fiab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_ela_listen/interpret_fiab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_ela_make_and_support_inferences_informational_fiab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_ela_make_and_support_inferences_literary_fiab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_ela_performance_task_mobile_ed_technology_iab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_ela_read_informational_texts_iab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_ela_read_literary_texts_iab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_ela_research_analyze_and_integrate_information_fiab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_ela_research_evaluate_information_and_sources_fiab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_ela_research_iab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_ela_research_use_evidence_fiab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_ela_revision_iab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_ela_text_analysis_informational_fiab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_ela_text_analysis_literary_fiab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_ela_write_and_revise_argumentative_texts_fiab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_ela_write_and_revise_explanatory_texts_fiab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_ela_write_and_revise_narratives_fiab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_elpac_ia_listening_i,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_elpac_ia_listening_ii,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_elpac_ia_reading_i,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_elpac_ia_reading_ii,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
